Date;Aaron;Abdul;Adam;Adrian;Aidan;Aiden;Alan;Albert;Albie;Alec;Alex;Alexander;Alfie;Alfred;Allan;Andrew;Anthony;Antony;Archibald;Archie;Arlo;Arnold;Arthur;Ashley;Ashton;Austin;Bailey;Barrie;Barry;Basil;Ben;Benjamin;Bernard;Bertie;Bertram;Billy;Blake;Bobby;Bradley;Brandon;Brett;Brian;Bruce;Bryan;Caleb;Callum;Calum;Cameron;Carl;Carter;Cecil;Charles;Charlie;Chester;Christian;Christopher;Clarence;Claude;Clifford;Clive;Colin;Connor;Conor;Corey;Craig;Curtis;Cyril;Dale;Damian;Damien;Daniel;Danny;Darren;David;Dean;Declan;Denis;Dennis;Derek;Derrick;Desmond;Dexter;Dominic;Donald;Douglas;Duncan;Dylan;Edgar;Edmund;Edward;Edwin;Elijah;Elliot;Elliott;Ellis;Eric;Ernest;Ethan;Evan;Ewan;Ezra;Felix;Finlay;Finley;Finn;Francis;Frank;Frankie;Fred;Freddie;Frederick;Gabriel;Gareth;Garry;Gary;Gavin;Geoffrey;George;Gerald;Gerard;Gilbert;Glen;Glenn;Gordon;Graeme;Graham;Grayson;Gregory;Guy;Harley;Harold;Harrison;Harry;Harvey;Hayden;Hector;Henry;Herbert;Horace;Howard;Hubert;Hudson;Hugh;Hugo;Hunter;Iain;Ian;Ibrahim;Isaac;Ivan;Ivor;Jack;Jackson;Jacob;Jake;James;Jamie;Jason;Jasper;Jaxon;Jay;Jayden;Jeffrey;Jenson;Jeremy;Jesse;Joe;Joel;Joey;John;Jonathan;Jordan;Joseph;Josh;Joshua;Jude;Julian;Justin;Kai;Kane;Karl;Kayden;Keith;Kenneth;Kevin;Kian;Kieran;Kieron;Kyle;Laurence;Lawrence;Lee;Leigh;Leo;Leon;Leonard;Leslie;Lewis;Liam;Lionel;Logan;Louie;Louis;Luca;Lucas;Luke;Macauley;Malcolm;Marc;Marcus;Mark;Martin;Martyn;Mason;Mathew;Matthew;Maurice;Max;Melvyn;Michael;Mitchell;Mohamed;Mohammad;Mohammed;Morgan;Morris;Muhammad;Nathan;Neil;Neville;Nicholas;Nigel;Noah;Noel;Norman;Oakley;Oliver;Ollie;Oscar;Owen;Patrick;Paul;Percival;Percy;Peter;Philip;Phillip;Ralph;Raymond;Reece;Reggie;Reginald;Reuben;Rhys;Richard;Ricky;Riley;Robert;Robin;Rodney;Roger;Roland;Roman;Ronald;Ronnie;Rory;Ross;Rowan;Roy;Royston;Russell;Ryan;Sam;Samuel;Scott;Sean;Sebastian;Seth;Shane;Shaun;Sidney;Simon;Sonny;Spencer;Stanley;Stephen;Steven;Stewart;Stuart;Sydney;Taylor;Teddy;Terence;Terry;Theo;Theodore;Thomas;Timothy;Tobias;Toby;Tom;Tommy;Tony;Trevor;Tyler;Victor;Vincent;Walter;Wayne;Wilfred;William;Zachary;Zak
1996;33;null;16;null;83;null;null;null;null;null;43;14;null;null;null;29;65;null;null;null;null;null;null;40;null;null;null;null;null;null;34;15;null;null;null;71;null;null;31;53;null;null;null;null;null;20;91;42;null;null;null;44;38;null;90;25;null;null;null;null;null;13;63;null;81;78;null;null;null;null;2;98;null;32;80;84;null;null;null;null;null;null;51;null;null;null;57;null;null;45;null;null;70;88;null;null;null;92;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;19;null;null;null;null;null;null;null;null;null;null;null;null;null;86;17;null;null;null;58;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;null;35;18;4;28;69;null;null;89;null;null;null;null;null;50;75;null;46;39;11;8;94;5;null;null;null;null;99;null;null;null;null;null;null;26;null;37;null;null;64;null;null;null;null;null;24;10;null;null;null;61;null;null;12;95;null;null;85;55;null;null;null;null;6;null;56;null;22;79;null;97;36;null;null;null;27;null;null;52;null;null;null;null;null;23;null;null;100;66;72;null;null;59;null;null;null;null;41;null;null;null;54;62;null;null;30;null;null;null;null;null;null;null;93;68;null;null;null;null;7;47;9;48;49;null;null;74;76;null;87;null;null;null;60;73;null;null;null;null;null;null;null;null;null;3;82;null;77;null;null;null;null;67;null;null;null;null;null;21;96;null
1997;32;null;20;null;82;null;null;null;null;null;43;16;92;null;null;37;68;null;null;null;null;null;null;46;null;null;null;null;null;null;30;13;null;null;null;70;null;null;28;39;null;null;null;null;null;14;94;36;null;null;null;42;40;null;93;26;null;null;null;null;null;12;64;90;91;85;null;null;null;null;4;null;null;35;99;69;null;null;null;null;null;null;53;null;null;null;52;null;null;44;null;null;61;87;null;null;null;62;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;18;null;null;null;null;null;null;null;null;null;null;null;null;null;79;17;100;null;null;58;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;null;29;22;2;31;72;null;null;84;null;null;null;null;null;48;75;null;49;45;10;8;89;5;null;null;null;null;97;null;null;null;null;null;null;27;null;38;null;null;73;null;null;null;null;null;21;15;null;null;null;54;null;null;11;null;null;null;88;63;null;null;null;null;6;null;57;null;23;81;null;86;33;null;null;95;25;null;null;56;null;null;null;null;null;24;null;null;74;67;76;null;null;65;null;null;null;null;41;null;null;null;55;71;null;null;34;null;null;null;null;null;null;null;98;60;null;null;null;null;9;47;7;50;51;null;null;77;83;null;null;null;null;null;66;80;null;null;null;null;null;null;null;null;null;3;96;null;78;null;null;null;null;59;null;null;null;null;null;19;null;null
1998;31;null;21;null;81;null;null;null;null;null;46;19;71;null;null;42;74;null;null;null;null;null;null;54;null;null;null;null;null;null;29;16;null;null;null;68;null;null;33;36;null;null;null;null;null;8;null;28;null;null;null;41;35;null;93;32;null;null;null;null;null;11;57;98;null;null;null;null;null;null;4;null;null;39;null;85;null;null;null;null;null;null;52;null;null;null;45;null;null;44;null;null;65;90;99;null;null;47;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;72;15;91;null;null;56;null;null;null;null;null;null;null;null;null;null;null;84;null;null;1;null;27;22;3;34;80;null;null;79;null;null;null;null;null;58;76;null;53;48;10;9;86;5;null;null;null;100;94;null;null;null;null;null;null;26;null;38;null;null;73;null;null;96;null;null;18;24;null;null;null;50;null;null;13;null;null;null;88;69;null;null;null;null;6;null;51;null;23;75;null;83;30;64;null;89;25;null;null;62;null;null;null;null;null;20;null;null;40;66;78;null;null;67;null;null;null;null;43;null;null;null;55;82;null;null;37;null;null;null;null;null;null;null;null;63;null;null;null;null;12;49;7;60;61;null;null;95;97;null;null;null;null;null;70;87;null;null;null;null;null;null;null;null;null;2;null;null;77;92;null;null;null;59;null;null;null;null;null;14;null;null
1999;36;null;21;null;75;null;null;null;null;null;45;20;64;null;null;47;81;null;null;null;null;null;null;68;null;null;null;null;null;null;31;15;null;null;null;71;null;null;33;34;null;null;null;null;null;9;null;24;null;null;null;41;32;null;null;38;null;null;null;null;null;22;66;null;null;null;null;null;null;null;5;null;null;42;null;73;null;null;null;null;null;null;60;null;null;null;46;null;null;43;null;null;67;96;90;null;null;40;null;86;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;18;null;null;null;null;null;null;null;null;null;null;null;null;null;62;14;84;null;null;51;null;null;null;null;null;null;null;null;null;null;null;79;null;null;1;null;28;23;3;30;83;null;null;65;null;null;null;null;null;53;70;null;57;55;16;8;null;4;null;null;null;89;null;null;null;null;null;null;null;27;null;37;null;null;91;null;null;87;null;null;13;17;null;null;null;49;null;100;12;null;null;null;93;78;null;null;99;null;6;null;48;null;26;76;null;80;29;52;null;82;25;null;null;61;null;null;null;null;null;19;null;88;35;69;94;null;null;72;null;null;null;null;44;null;null;null;54;97;null;null;39;null;null;null;null;null;null;null;null;63;null;null;null;null;11;50;7;58;59;null;null;null;null;null;null;null;null;null;74;92;null;null;null;98;null;null;null;null;null;2;null;null;77;85;null;null;null;56;null;null;null;null;null;10;95;null
2000;36;null;20;null;72;null;null;null;null;null;48;21;57;null;null;53;83;null;null;81;null;null;null;86;null;null;74;null;null;null;31;16;null;null;null;76;null;null;34;35;null;null;null;null;null;10;null;24;null;null;null;44;33;null;null;42;null;null;null;null;null;23;88;null;null;null;null;null;null;null;5;null;null;43;null;66;null;null;null;null;null;null;61;null;null;null;37;null;null;45;null;null;65;null;96;null;null;32;null;100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;56;6;71;null;null;52;null;null;null;null;null;null;null;null;null;null;null;67;null;null;1;null;28;22;3;29;97;null;null;63;null;null;null;null;null;49;68;null;58;59;18;7;null;4;null;null;null;73;93;null;null;null;null;null;92;27;null;39;null;null;98;null;null;80;null;null;13;19;null;null;null;46;null;90;11;null;null;null;95;87;null;null;85;null;9;null;38;null;30;82;null;77;26;54;null;69;25;null;null;64;null;null;null;null;null;14;null;91;47;70;null;null;null;79;null;null;null;null;40;null;null;null;50;null;null;null;41;null;null;null;null;null;null;null;null;78;null;null;null;null;15;55;8;62;60;null;null;null;null;null;null;null;null;null;94;null;null;null;null;89;null;null;null;null;null;2;null;null;75;84;null;null;null;51;null;null;null;null;null;12;99;null
2001;40;null;16;null;80;null;null;null;null;null;45;20;54;null;null;56;98;null;null;60;null;null;null;95;null;null;87;null;null;null;31;14;null;null;null;78;null;null;36;38;null;null;null;null;null;15;null;23;null;null;null;50;32;null;null;48;null;null;null;null;null;25;93;null;null;null;null;null;null;null;5;null;null;46;null;81;null;null;null;null;null;null;70;null;null;null;27;null;null;44;null;null;68;null;91;null;null;21;null;84;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;49;6;61;null;null;53;null;null;null;null;null;null;null;null;null;null;null;75;null;null;1;null;28;19;4;30;92;null;null;59;null;null;null;null;null;51;62;null;58;66;26;8;90;3;null;null;null;64;96;null;null;null;null;null;72;34;null;42;null;null;null;null;null;74;null;null;10;24;null;null;null;39;null;79;11;null;null;null;83;97;null;null;85;null;9;null;35;null;33;88;null;73;22;57;null;69;29;null;null;82;null;null;null;null;null;12;null;77;37;76;null;null;null;86;null;null;null;null;43;null;null;null;52;null;null;null;47;null;null;null;null;null;null;null;null;100;null;null;null;null;18;55;7;71;67;null;null;null;null;null;null;null;null;null;99;null;null;null;null;65;null;null;null;null;null;2;null;null;63;89;null;null;null;41;null;null;null;null;null;13;94;null
2002;36;null;17;null;67;null;null;null;null;null;42;19;49;null;null;66;93;null;null;55;null;null;null;95;null;null;78;null;null;null;21;6;null;null;null;81;null;null;39;37;null;null;null;null;null;16;null;27;null;null;null;48;29;null;null;56;null;null;null;null;null;26;null;null;null;null;null;null;null;null;5;null;null;47;null;89;null;null;null;null;null;null;75;null;null;null;28;null;null;46;null;null;76;null;83;null;null;18;null;86;null;null;77;91;null;null;null;null;null;null;null;99;null;null;null;null;null;15;null;null;null;null;null;null;null;null;null;null;null;null;null;52;11;45;null;null;51;null;null;null;null;null;null;null;null;null;null;null;63;null;null;1;null;30;25;4;32;94;null;null;62;null;null;null;null;null;54;69;null;64;80;43;8;84;2;null;null;null;59;null;null;null;null;null;null;68;34;100;40;null;null;null;null;88;73;null;null;14;23;null;null;null;41;null;72;13;null;null;null;92;null;null;null;85;null;12;null;33;null;35;null;null;65;22;60;null;61;24;null;null;87;null;null;null;null;null;10;null;70;31;82;null;null;null;97;null;null;null;null;44;null;null;null;53;null;null;null;50;null;null;null;null;null;null;null;null;null;null;null;null;null;20;57;7;79;74;96;null;null;null;null;null;null;null;null;null;null;null;null;null;71;null;null;null;null;null;3;null;null;58;90;null;null;null;38;null;null;null;null;null;9;98;null
2003;43;null;18;null;72;null;null;null;null;null;42;20;17;null;null;75;96;null;null;50;null;null;null;null;null;null;80;null;null;null;26;7;null;null;null;84;null;null;44;40;null;null;null;null;null;19;null;23;null;null;null;48;24;null;null;59;null;null;null;null;null;25;null;99;null;null;null;null;null;null;5;null;null;49;null;92;null;null;null;null;null;null;71;null;null;null;28;null;null;45;null;null;78;null;85;null;null;15;null;95;null;null;68;83;null;null;null;null;null;null;null;null;null;null;null;null;null;16;null;null;null;null;null;null;null;null;null;null;null;null;null;47;11;36;null;null;53;null;null;null;null;null;null;null;null;null;null;null;64;null;null;1;null;27;31;4;32;null;null;null;65;null;null;null;null;null;55;69;null;66;79;54;10;93;2;97;null;null;56;null;null;null;null;null;null;57;37;null;39;null;null;null;null;77;74;null;null;13;29;null;86;null;41;98;73;14;null;null;null;100;null;null;null;87;null;12;null;34;null;38;null;null;70;21;58;null;61;30;null;null;91;null;94;null;null;null;6;null;62;33;81;null;null;null;null;null;null;null;null;46;null;null;null;52;null;null;null;60;null;null;null;null;null;null;null;null;null;null;null;null;null;22;63;8;82;67;88;null;null;null;null;null;null;90;null;null;null;null;null;null;76;null;null;null;null;null;3;null;null;51;89;null;null;null;35;null;null;null;null;null;9;null;null
2004;41;null;24;null;70;null;null;null;null;null;46;20;25;null;null;79;null;null;null;45;null;null;null;null;null;null;68;null;null;null;27;9;null;null;null;71;null;null;42;44;null;null;null;null;null;18;null;29;null;null;null;49;15;null;null;65;null;null;null;null;null;28;null;null;null;null;null;null;null;null;5;null;null;55;null;92;null;null;null;null;null;null;84;null;null;null;21;null;null;43;null;null;85;null;82;null;null;13;99;null;null;null;63;72;null;null;null;null;null;96;null;98;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;47;11;32;null;null;48;null;null;null;null;null;null;null;null;null;null;null;58;null;null;1;null;23;26;4;33;null;null;null;67;93;null;null;null;null;56;73;null;64;81;86;10;100;2;94;null;null;62;null;null;null;null;null;null;61;40;null;37;null;null;null;null;57;76;null;null;14;30;null;80;91;38;95;75;16;null;null;null;null;null;null;null;77;null;12;null;34;null;39;null;null;69;19;66;null;51;31;null;null;null;null;74;null;null;null;7;null;59;35;89;null;null;null;null;null;null;null;null;52;null;null;null;53;null;null;88;60;null;null;null;null;null;null;null;null;null;null;null;null;null;22;54;6;87;83;90;null;null;null;null;null;null;null;null;null;null;null;null;null;78;null;null;null;null;null;3;null;null;50;97;null;null;null;36;null;null;null;null;null;8;null;null
2005;45;null;26;null;78;null;null;null;null;null;53;22;23;null;null;88;null;null;null;38;null;null;null;null;null;null;62;null;null;null;32;11;null;null;null;71;null;null;39;47;null;null;null;null;null;14;null;34;null;null;null;49;12;null;null;76;null;null;null;null;null;30;null;91;null;null;null;null;null;null;6;null;null;61;null;null;null;null;null;null;null;null;86;null;null;null;24;null;null;46;null;null;82;null;87;null;null;18;97;90;null;null;57;64;null;null;null;null;null;79;98;96;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;70;null;40;9;27;null;null;44;null;null;null;null;null;null;null;null;null;null;null;54;null;null;1;null;21;16;4;33;null;null;null;81;84;null;null;null;null;65;69;null;72;93;null;10;null;2;null;null;null;66;null;null;null;null;null;null;63;50;null;41;null;null;null;null;37;75;null;null;19;28;null;77;null;43;83;58;13;null;null;null;null;null;null;null;60;null;15;null;31;null;42;null;null;68;20;80;null;52;35;null;null;null;null;51;null;null;null;5;null;55;36;92;null;null;null;null;null;null;null;null;56;null;null;null;59;null;null;74;73;null;null;null;null;null;null;null;null;null;null;null;null;null;25;67;7;99;94;89;null;null;null;null;null;null;null;null;null;null;null;null;null;85;null;null;null;null;null;3;null;null;48;null;null;null;null;29;null;null;null;null;null;8;95;100
2006;44;null;26;null;86;null;null;null;null;null;57;24;16;null;null;96;null;null;null;40;null;null;null;null;84;null;71;null;null;null;38;12;null;null;null;82;null;null;51;53;null;null;null;null;null;13;null;30;null;null;null;50;10;null;null;83;null;null;null;null;null;35;null;80;null;null;null;null;null;null;8;null;null;67;null;null;null;null;null;null;null;null;92;null;null;null;23;null;null;42;null;null;87;null;77;null;null;18;85;100;null;null;59;60;null;null;null;null;null;65;99;98;null;null;null;null;null;14;null;null;null;null;null;null;null;null;null;null;null;68;null;36;5;28;89;null;39;null;null;null;null;null;null;null;null;null;null;null;55;null;null;1;null;22;15;6;31;null;null;null;90;66;null;null;null;null;78;74;null;73;null;null;11;null;3;null;null;null;63;null;null;null;null;null;null;69;58;null;45;null;null;null;null;33;76;null;null;21;32;null;61;null;54;81;48;17;null;null;null;null;null;null;null;62;null;19;null;29;null;41;null;null;70;20;88;null;43;37;null;null;null;null;47;null;null;null;4;null;46;34;null;null;null;null;null;null;null;null;null;56;null;null;97;49;null;null;64;75;null;null;null;null;null;null;null;null;null;null;null;null;null;25;72;9;null;95;94;null;null;null;null;null;null;null;null;null;null;null;null;null;79;null;null;null;91;null;2;null;null;52;null;null;null;null;27;null;null;null;null;null;7;93;null
2007;49;null;26;null;78;null;null;null;null;null;58;22;10;null;null;99;null;null;null;33;null;null;null;null;79;null;70;null;null;null;48;14;null;null;null;89;null;null;68;66;null;null;null;null;null;23;null;34;null;null;null;54;7;null;null;86;null;null;null;null;null;37;null;93;null;null;null;null;null;null;6;null;null;63;null;null;null;null;null;null;null;null;98;null;null;null;19;null;null;40;null;null;91;null;83;null;null;15;81;null;null;null;59;46;null;null;null;null;null;64;100;92;null;null;null;null;null;12;null;null;null;null;null;null;null;null;null;null;null;69;null;30;5;29;77;null;35;null;null;null;null;null;null;null;null;null;null;null;42;null;null;1;null;20;18;9;36;null;null;null;95;32;null;null;null;null;85;80;null;75;null;null;13;null;4;null;null;null;62;null;null;null;null;null;null;67;61;null;51;null;null;null;null;43;74;null;null;16;27;null;53;96;60;72;39;21;null;null;null;null;null;null;null;55;null;24;null;31;null;47;null;null;71;17;94;null;38;44;null;null;null;null;50;null;null;null;3;null;41;45;null;null;null;null;null;null;null;null;null;65;null;null;88;56;null;null;57;84;null;null;null;null;null;null;null;null;null;null;null;null;null;25;76;11;null;97;87;null;null;null;null;null;null;null;null;null;null;null;null;null;90;null;null;null;73;null;2;null;null;52;null;null;null;null;28;null;null;null;null;null;8;82;null
2008;55;null;32;null;91;null;null;null;null;null;47;19;6;null;null;null;null;null;null;31;null;null;null;null;75;null;76;null;null;null;57;18;null;null;null;98;92;null;81;70;null;null;null;null;null;27;null;46;null;null;null;56;7;null;null;94;null;null;null;null;null;41;null;86;null;null;null;null;null;null;8;null;null;64;null;null;null;null;null;null;null;null;null;null;null;null;17;null;null;42;null;null;82;null;89;null;null;15;80;95;null;null;60;43;null;null;null;null;null;61;null;78;null;null;null;null;null;12;null;null;null;null;null;null;null;null;null;null;null;63;null;35;4;34;71;null;38;null;null;null;null;null;null;null;null;null;null;null;39;null;null;1;null;20;23;9;51;null;null;null;96;29;null;null;null;null;85;88;null;83;null;null;13;null;5;null;null;null;68;null;null;null;null;null;null;67;73;null;69;null;null;null;null;40;62;null;null;14;22;null;44;93;59;74;36;25;null;null;null;null;null;null;null;53;null;28;null;24;null;52;null;null;65;16;97;null;37;50;null;null;null;null;45;null;null;null;2;null;30;48;null;null;null;null;null;null;null;null;null;66;null;null;87;49;null;null;33;90;null;null;null;null;null;null;null;null;null;null;null;null;null;21;79;11;null;99;77;null;null;null;null;null;null;null;null;null;null;null;null;null;84;null;null;null;58;null;3;null;null;54;null;null;null;null;26;null;null;null;null;null;10;72;100
2009;54;null;34;null;78;73;null;null;null;null;50;22;4;null;null;null;null;null;null;20;null;null;93;null;69;100;81;null;null;null;65;15;null;null;null;null;null;null;90;82;null;null;null;null;null;28;null;52;null;null;null;58;7;null;null;94;null;null;null;null;null;46;null;null;null;null;null;null;null;null;10;null;null;64;null;null;null;null;null;null;null;null;null;null;null;null;19;null;null;44;null;null;87;null;85;null;null;13;70;95;null;null;61;43;null;null;null;null;null;53;96;75;null;null;null;null;null;11;null;null;null;null;null;null;null;null;null;null;null;56;null;42;3;39;77;null;37;null;null;null;null;null;null;null;null;null;null;null;41;null;null;2;null;18;27;9;48;null;null;null;null;26;null;null;null;null;92;80;null;83;null;null;14;null;5;98;null;null;68;null;null;null;null;null;null;71;86;null;74;null;null;null;null;40;60;null;null;21;24;null;35;84;66;72;17;33;null;null;null;null;null;null;null;45;null;38;null;25;null;51;null;null;62;16;97;null;36;49;null;null;null;null;32;null;null;null;1;null;23;47;null;null;null;null;null;null;null;null;null;76;null;null;79;59;null;null;29;91;null;null;null;null;null;null;null;null;null;null;null;null;null;30;88;12;null;null;63;null;null;null;null;null;null;null;99;null;null;null;null;null;89;null;null;null;55;null;6;null;null;57;null;null;null;null;31;null;null;null;null;null;8;67;null
2010;55;null;39;null;91;66;null;null;null;null;52;21;4;null;null;null;null;null;null;24;null;null;82;null;77;null;79;null;null;null;73;22;null;null;null;null;null;83;100;92;null;null;null;null;87;40;null;61;null;null;null;62;5;null;null;null;null;null;null;null;null;44;null;null;null;null;null;null;null;null;11;null;null;64;null;null;null;null;null;null;null;98;null;null;null;null;16;null;null;43;null;null;85;null;null;null;null;13;76;null;null;null;68;35;null;null;null;null;null;45;95;78;null;null;null;null;null;9;null;null;null;null;null;null;null;null;null;null;null;57;null;42;3;47;80;null;34;null;null;null;null;null;null;null;null;null;null;null;37;null;null;2;null;12;29;10;49;null;null;null;null;26;null;96;null;null;null;81;null;94;null;null;15;null;8;86;null;null;56;null;null;99;null;null;null;72;89;null;74;null;null;null;null;36;60;null;null;27;33;null;28;75;69;70;19;38;null;null;null;null;null;null;null;46;null;41;null;23;null;53;null;null;67;17;null;null;31;48;null;null;null;null;18;null;null;null;1;63;20;59;null;null;null;null;null;null;null;null;null;84;null;null;71;65;null;null;25;90;null;null;null;null;null;null;null;null;null;null;null;null;null;30;93;14;null;null;58;null;null;null;null;null;null;null;88;null;null;null;null;null;97;null;null;null;50;null;6;null;null;54;null;null;null;null;32;null;null;null;null;null;7;51;null
2011;58;null;38;null;null;61;null;null;null;null;59;23;4;null;null;null;null;null;null;24;null;null;68;null;87;null;90;null;null;null;97;25;null;null;null;null;79;76;null;null;null;null;null;null;89;46;null;77;null;null;null;60;5;null;null;null;null;null;null;null;null;48;null;null;null;null;null;null;null;null;14;null;null;57;null;null;null;null;null;null;null;78;null;null;null;null;21;null;null;40;null;91;85;null;null;null;null;11;82;null;null;null;66;34;null;null;null;84;null;42;96;75;null;null;null;null;null;12;null;null;null;null;null;null;null;null;null;null;null;55;null;37;1;52;86;null;28;null;null;null;null;null;null;null;null;null;null;null;33;null;null;3;99;7;29;8;49;null;null;null;null;32;null;67;null;null;null;88;null;100;null;null;18;null;9;83;null;null;56;null;null;94;null;null;null;81;null;null;95;null;null;null;null;27;62;null;null;39;44;null;30;74;69;64;26;41;null;null;null;null;null;null;null;35;null;43;null;20;null;53;null;null;63;19;null;null;22;54;null;null;null;null;16;null;null;null;2;73;17;71;null;null;null;null;null;null;null;null;null;98;null;null;72;70;null;null;13;93;null;null;null;null;null;null;null;null;null;null;null;null;null;36;null;15;null;null;47;null;null;null;null;null;null;null;80;null;null;null;null;null;92;null;null;null;50;null;6;null;null;51;null;65;null;null;31;null;null;null;null;null;10;45;null
2012;69;null;39;null;null;80;null;null;null;null;65;27;7;null;null;null;null;null;null;23;null;null;52;null;null;null;98;null;null;null;null;32;null;null;null;null;66;57;null;null;null;null;null;null;85;51;null;77;null;null;null;62;4;null;null;null;null;null;null;null;null;58;null;null;null;null;null;null;null;null;16;null;null;59;null;null;null;null;null;null;null;70;null;null;null;null;28;null;null;36;null;82;75;95;100;null;null;13;86;null;null;null;83;34;null;null;null;67;null;38;87;76;null;null;null;null;null;12;null;null;null;null;null;null;null;null;null;null;null;46;null;35;1;48;null;null;24;null;null;null;null;null;null;88;null;null;null;null;30;null;null;3;null;5;33;10;64;null;null;null;null;37;null;54;null;null;null;null;null;null;null;null;22;null;11;71;null;null;63;null;null;92;null;null;null;89;null;null;94;null;null;null;null;20;72;null;null;43;50;null;29;79;81;61;25;45;null;null;null;null;null;null;null;31;null;47;null;18;null;53;null;null;60;26;null;null;19;56;null;null;null;null;14;null;null;null;2;73;17;78;null;null;null;null;null;null;null;null;null;null;null;null;68;84;null;null;8;96;null;null;null;null;null;null;null;99;null;null;null;null;null;42;null;15;null;null;41;91;null;null;null;null;90;null;74;null;null;null;null;null;93;null;null;null;44;97;6;null;null;49;null;55;null;null;21;null;null;null;null;null;9;40;null
2013;81;null;40;null;null;92;null;99;null;null;65;24;11;null;null;null;null;null;null;16;null;null;43;null;null;94;null;null;null;null;null;30;null;null;null;null;56;59;null;null;null;null;null;null;88;73;null;93;null;null;null;61;5;null;null;null;null;null;null;null;null;66;null;null;null;null;null;null;null;null;22;null;null;50;null;null;null;null;null;null;null;63;null;null;null;null;31;null;null;33;null;69;76;84;null;null;null;14;83;null;null;91;87;34;null;null;null;62;null;35;82;79;null;null;null;null;null;10;null;null;null;null;null;null;null;null;null;null;null;49;null;36;3;48;null;null;18;null;null;null;null;null;null;74;null;null;null;89;29;null;null;2;null;4;32;9;68;null;null;null;null;42;null;58;null;null;null;null;null;null;null;null;19;null;12;72;null;null;64;null;null;null;null;null;null;95;null;null;null;null;null;null;null;17;75;null;null;46;67;null;28;71;77;60;26;45;null;null;null;null;null;null;null;27;null;47;null;25;null;53;null;null;57;23;null;null;15;55;null;null;null;null;13;null;null;null;1;80;7;85;null;null;null;null;null;null;null;null;null;null;null;null;54;null;null;null;21;98;null;null;null;null;null;null;90;96;null;null;null;null;null;51;null;20;null;null;38;97;null;null;null;null;100;null;70;null;null;null;null;null;null;86;null;null;41;78;6;null;null;44;null;52;null;null;37;null;null;null;null;null;8;39;null
2014;80;null;39;null;null;null;null;84;null;null;75;22;12;null;null;null;null;null;null;17;null;null;41;null;null;89;null;null;null;null;null;28;null;null;null;null;57;71;null;null;null;null;null;null;93;82;null;null;null;null;null;63;5;null;null;null;null;null;null;null;null;79;null;null;null;null;null;null;null;null;24;null;null;50;null;null;null;null;null;null;null;73;null;null;null;null;34;null;null;31;null;53;83;72;94;null;null;18;null;null;null;98;99;36;null;null;null;64;null;20;81;78;null;null;null;null;null;7;null;null;null;null;null;null;null;null;null;null;null;45;null;32;3;48;null;null;15;null;null;null;null;null;null;70;null;null;null;91;25;null;null;2;100;4;33;9;88;null;null;null;null;43;null;61;null;null;null;null;97;null;null;null;19;null;13;65;null;null;77;null;null;null;null;null;null;54;null;null;null;null;null;null;null;16;85;null;null;46;76;null;23;67;68;58;30;44;null;null;null;null;null;null;null;29;null;49;null;26;null;52;null;null;56;27;null;null;14;62;null;null;null;null;11;null;null;null;1;74;8;92;null;null;null;null;null;null;null;null;null;null;null;null;51;null;null;null;35;96;null;null;null;null;null;null;86;87;null;null;null;null;null;69;null;21;null;null;38;90;null;null;null;null;95;null;60;null;null;null;null;null;null;66;null;null;37;59;6;null;null;42;null;55;null;null;47;null;null;null;null;null;10;40;null
