"KEY_NAME";"SYNONYM"
"Connie";"Conni"
"Connie";"Conny"
"Connie";"Konni"
"Connie";"Konny"
"Constantia";"Constansia"
"Constantia";"Konstanzia"
"Constantina";"Konstantina"
"Constanze";"Constance"
"Constanze";"Constantze"
"Constanze";"Konstanze"
"Cora";"Kora"
"Corbinian";"Korbinian"
"Cordula";"Kordula"
"Corina";"Corinna"
"Corina";"Corrina"
"Corina";"Korina"
"Corina";"Korinna"
"Corinn";"Corin"
"Corinn";"Corine"
"Corinn";"Corinne"
"Corinn";"Corrine"
"Cosima";"Kosima"
"Crispin";"Krispin"
"Cuauhtémoc";"Cuauhtemoc"
"Cyril";"Cyrill"
"Cyril";"Kiril"
"Cyril";"Kirill"
"Cyril";"Kyril"
"Cyril";"Kyrill"
"Dalia";"Dahlia"
"Dalia";"Dália"
"Dalia";"Daliah"
"Dalia";"Daliya"
"Dalia";"Dalya"
"Dalila";"Dalilah"
"Damian";"Damián Damjan"
"Damian";"Damijan"
"Danae";"Danaé"
"Dani";"Dany"
"Dania";"Danija"
"Danial";"Danijal"
"Daniel";"Dániel"
"Daniel";"Danijel"
"Daniel";"Daniyel"
"Daniela";"Danijela"
"Danja";"Danya"
"Danny";"Danni"
"Danny";"Dannie"
"Daphne";"Dafne"
"Daphne";"Daphné"
"Daria";"Darija"
"Daria";"Darja"
"Dario";"Darijo"
"Dariush";"Dariusch"
"Darlene";"Darleen"
"Darvin";"Darwin"
"David";"Dávid"
"David";"Davit"
"David";"Dawid"
"David";"Dawit"
"Dawud";"Dawood"
"Debora";"Deborah"
"Dejan";"Deian"
"Delia";"Deliah"
"Delila";"Delilah"
"Denes";"Dénes"
"Denis";"Denies"
"Denis";"Deniz"
"Denis";"Dennies"
"Denis";"Dennis"
"Denis";"Denniz"
"Denis";"Dennys"
"Denis";"Denys"
"Denise";"Deniese"
"Denise";"Dennise"
"Denise";"Denyse"
"Denise-Jaqueline";"Denise-Jacqueline"
"Denise-Stephanie";"Denise-Stefanie"
"Deniz-Daniel";"Denis-Daniel"
"Denny";"Denni"
"Denny";"Dennie"
"Desdina";"Destina"
"Desiree";"Desiré"
"Desiree";"Desirée"
"Desiree";"Désirée"
"Devin";"Dewin"
"Devy";"Devi"
"Dézi";"Daisy"
"Diana";"Dijana"
"Diana-Maria";"Diana-Marija"
"Dianne";"Diane"
"Dieter";"Diether"
"Dietmar";"Diethmar"
"Dietmar";"Ditmar"
"Dilara";"Dilâra"
"Dilla";"Dila"
"Dima";"Dimah"
"Dimitry";"Dimitrie"
"Dina";"Dinah"
"Dione";"Dionne"
"Divya";"Divia"
"Dmitri";"Dimitri"
"Dmitri";"Dimitrij"
"Dmitri";"Dimitriy"
"Dmitri";"Dmitrij"
"Domenica";"Domenika"
"Domenica";"Dominica"
"Domenica";"Dominika"
"Domenikus";"Domenicus"
"Doménique";"Domenique"
"Dominic-Alexander";"Dominik-Alexander"
"Dominic-Michael";"Dominik-Michael"
"Dominik";"Domenic"
"Dominik";"Domenick"
"Dominik";"Domenik"
"Dominik";"Dominic"
"Dominik";"Dominick"
"Dominik-Christian";"Dominic-Christian"
"Dominik-Franz";"Dominic-Franz"
"Dominik-Luca";"Dominic-Luca"
"Dominik-Patrick";"Dominik-Patric"
"Dominik-René";"Dominic-René"
"Dominikus";"Dominicus"
"Doreen";"Dorien"
"Doreen";"Dorine"
"Dorian";"Dorián"
"Doroteja";"Dorothea"
"Dorothe";"Dorothée"
"Dorritt";"Dorit"
"Dorritt";"Dorith"
"Dorritt";"Doritt"
"Dunja";"Dunia"
"Dunja";"Dunya"
"Dustin";"Dustyn"
"Dzejla";"Džejla"
"Ecatarina";"Ekatharina"
"Eckhardt";"Eckhart"
"Eddy";"Eddie"
"Edita";"Editha"
"Edith";"Edit"
"Edward";"Edvard"
"Edward";"Edwárd"
"Edwin";"Edvin"
"Efraim";"Ephraim"
"Ela";"Elâ"
"Eleanor";"Elinor"
"Eleanor";"Ellinor"
"Elen";"Elén"
"Elen";"Elène"
"Elena";"Eléna"
"Elenor";"Ellenor"
"Eleonore";"Éléonore"
"Elfie";"Elfi"
"Eli";"Elie"
"Elia";"Aelia"
"Elia";"Eliah"
"Elias";"Elías"
"Elias";"Eliasz"
"Elias";"Eliaz"
"Elias";"Elijas"
"Elias";"Eliyas"
"Elias";"Elyas"
"Eliesa";"Elieser"
"Elif";"Elïf"
"Elijah";"Elija"
"Eliot";"Elliot"
"Eliot";"Elliott"
"Elis";"El=Is"
"Elisabeth";"Elisabet"
"Elisabeth";"Elizabet"
"Elisabetta";"Elizabeta"
"Elise";"Eliese"
"Elise";"Élise"
"Elisei";"Elisej"
"Elli";"Ellie"
"Elli";"Elly"
"Ellis";"Ellice"
"Eloise";"Elois"
"Elvedin";"Elwedin"
"Elvin";"Elwin"
"Emanuel";"Emmanouel"
"Emanuel";"Emmanuel"
"Emanuela";"Emmanuela"
"Emeli";"Emelie"
"Emeli";"Emely"
"Emeli";"Emilie"
"Emeli";"Emily"
"Emeli";"Emmelie"
"Emeli";"Emmely"
"Emi";"Emy"
"Emil";"Emile"
"Emili";"Emmily"
"Emilia";"Emília"
"Emilia";"Emilija"
"Emilia";"Emiliya"
"Emilia";"Emillia"
"Emilio";"Emiljo"
"Emrije";"Emriye"
"Eneas";"Äneas"
"Enes";"Enez"
"Erica";"Erika"
"Erik";"Eric"
"Erik";"Erick"
"Erkan";"Ercan"
"Esmée";"Esmee"
"Esra";"Esraa"
"Esther";"Esta"
"Esther";"Ester"
"Esther";"Estha"
"Esther";"Eszter"
"Etienne";"Étienne"
"Eugenie";"Eugénie"
"Eva";"Ewa"
"Eva-Kristina";"Eva-Christina"
"Eva-Maria";"Evamaria"
"Eva-Marie";"Evamarie"
"Evelin";"Evelien"
"Evelin";"Eveline"
"Evelin";"Evelyn"
"Evelin";"Evelyne"
"Evelin";"Evelynn"
"Evgenia";"Evgenija"
"Evolette";"Evolet"
"Evolette";"Evoleth"
"Eyyüb";"Eyyüp"
"Fabian";"Fabián"
"Fabian";"Fabijan"
"Fabian";"Fabjan"
"Fabienne";"Fabien"
"Fabrizio";"Fabricio"
"Fahad";"Fahed"
"Faiza";"Feiza"
"Falko";"Falco"
"Fanja";"Fania"
"Fanny";"Fanni"
"Fareed";"Farid"
"Fareed";"Faried"
"Fariha";"Faria"
"Fariha";"Fariya"
"Fatima";"Fathima"
"Fatima";"Fatimah"
"Faye";"Fay"
"Felicia";"Felizia"
"Felicie";"Félicie"
"Felicitas";"Felizitas"
"Felix";"Feliks"
"Felizian";"Felician"
"Fenja";"Fenia"
"Fenja";"Fenya"
"Ferenc";"Ferencz"
"Ferenc";"Ferenz"
"Filip";"Filipp"
"Filip";"Fillip"
"Filip";"Fillipp"
"Filip";"Philip"
"Filip";"Philipp"
"Filip";"Phillip"
"Filip";"Phillipp"
"Filippina";"Philipina"
"Filippina";"Philippina"
"Filippo";"Filipo"
"Filis";"Filiz"
"Filis";"Phillies"
"Filis";"Phillis"
"Filis";"Phyllis"
"Finja";"Finia"
"Finja";"Finnja"
"Finja";"Finnya"
"Finja";"Finya"
"Finja";"Fynia"
"Finn";"Fin"
"Finn";"Fynn"
"Flora";"Vlora"
"Florence";"Florance"
"Florencia";"Florenzia"
"Florentin";"Florentyn"
"Florentina";"Florentyna"
"Florian";"Florijan"
"Franca";"Franka"
"Francesca";"Franceska"
"Francesca";"Franczeska"
"Françoise";"Francoise"
"Franko";"Franco"
"Franky";"Frankie"
"Franziska";"Francisca"
"Franziska";"Franciska"
"Franziska";"Fransiska"
"Franziska";"Franzisca"
"Franz-Joseph";"Franz-Josef"
"Franz-Patrik";"Franz-Patrick"
"Franz-Stephan";"Franz-Stefan"
"Freddy";"Fredy"
"Frederik";"Frederic"
"Frederik";"Frédéric"
"Frederik";"Frederick"
"Frederik";"Frédérick"
"Frederik";"Fredrick"
"Frederik";"Fredrik"
"Frederika";"Frederica"
"Freidis";"Frejdis"
"Freya";"Freia"
"Freya";"Freija"
"Freya";"Freyja"
"Frida";"Frieda"
"Fridolin";"Friedolin"
"Friederike";"Friderike"
"Friederike";"Friedericke"
"Gabi";"Gaby"
"Gabriel";"Gabriël"
"Gabriel";"Gabrijel"
"Gabriel";"Gabriyel"
"Gabriela";"Gabriella"
"Gabriela";"Gabrijela"
"Gaea";"Gea"
"Gaia";"Gaja"
"Géraldine";"Geraldine"
"Gerfrid";"Gerfried"
"Gerhardt";"Gerhart"
"Gerónimo";"Geronimo"
"Gerrit";"Gerit"
"Gerrit";"Geritt"
"Gerrit";"Gerriet"
"Gerth";"Gerd"
"Gerth";"Gert"
"Gerwin";"Gervin"
"Gerwin";"Gerwyn"
"Geza";"Géza"
"Gitti";"Giti"
"Gökhan";"Gökan"
"Gratia";"Gracia"
"Gratia";"Grazia"
"Graziella";"Graciella"
"Gregory";"Gregori"
"Greta";"Gretha"
"Gunter";"Gunther"
"Günter";"Günther"
"Gustaf";"Gustav"
"Gustaf";"Gusztav"
"Gwendolin";"Gwendolyn"
"Gwendolin";"Gwendolynn"
"Hadier";"Hadir"
"Haike";"Heike"
"Haiko";"Heiko"
"Hailey";"Haily"
"Haisam";"Heisam"
"Hamed";"Hamid"
"Hamed";"Hammed"
"Hamidah";"Hamida"
"Hamsa";"Hamza"
"Hanaan";"Hanan"
"Hanadi";"Hanady"
"Hani";"Hany"
"Hania";"Hanja"
"Hannah";"Hana"
"Hannah";"Hanah"
"Hannah";"Hanna"
"Hannah-Christina";"Hanna-Christina"
"Hannah-Maria";"Hanna-Maria"
"Hannah-Sophie";"Hanna-Sophie"
"Hannah-Teresa";"Hannah-Theresa"
"Hannah-Teresa";"Hanna-Teresa"
"Hannah-Teresa";"Hanna-Theresa"
"Hanna-Sophia";"Hannah-Sophia"
"Hanni";"Hanny"
"Hans";"Hanns"
"Hans-Dieter";"Hansdieter"
"Hansgeorg";"Hans-Georg"
"Hans-Jörg";"Hansjörg"
"Hans-Jürgen";"Hansjürgen"
"Hanspeter";"Hans-Peter"
"Hans-Philipp";"Hans-Phillip"
"Harprit";"Harpreet"
"Hartmuth";"Hartmut"
"Hasan";"Hassan"
"Hatixhe";"Hadice"
"Hatixhe";"Hatice"
"Hava";"Havva"
"Hava";"Hawa"
"Haydar";"Haidar"
"Haydar";"Haider"
"Haydar";"Heidar"
"Heba";"Hebah"
"Hediye";"Hedieh"
"Heidelies";"Heidelis"
"Heidemaria";"Heide-Maria"
"Heide-Marie";"Heidemarie"
"Heidi";"Haidi"
"Heidi";"Haidy"
"Heimo";"Haimo"
"Heinzpeter";"Heinz-Peter"
"Helen";"Hellen"
"Helena";"Hellena"
"Hélène";"Helén"
"Helfried";"Hellfried"
"Helin";"Hêlin"
"Helin";"Héline"
"Hellmut";"Hellmuth"
"Hellmut";"Helmut"
"Hellmut";"Helmuth"
"Hellwig";"Helwig"
"Hendrik";"Hendrick"
"Henrik";"Henryk"
"Henry";"Henri"
"Herfrid";"Herfried"
"Hermann";"Herman"
"Herta";"Hertha"
"Hescham";"Hesham"
"Hescham";"Hischam"
"Hescham";"Hisham"
"Hevin";"Hewin"
"Hilal";"Hilâl"
"Hümeyra";"Hümeyrâ"
"Husain";"Husein"
"Husain";"Hüseyin"
"Husain";"Hussain"
"Husain";"Hussein"
"Ian";"Iain"
"Idamaria";"Ida-Maria"
"Ildiko";"Ildikó"
"Ilena";"Ylena"
"Iliana";"Ilijana"
"Ilias";"Ilijas"
"Ilias";"Iljas"
"Ilias";"Illyas"
"Ilias";"Ilyaas"
"Ilias";"Ilyas"
"Ilija";"Ilja"
"Iliriana";"Ilirjana"
"Iliya";"Ilyah"
"Ilker";"Îlker"
"Ilknur";"Ílknur"
"Ilvy";"Ylvi"
"Ilvy";"Ylvie"
"Immanuel";"Imanuel"
"Imran";"Ímran"
"Inaara";"Inara"
"Ines";"Inés"
"Ines";"Inez"
"Ioana";"Ioanna"
"Irene";"Iréne"
"Isa";"Ïsa"
"Isabel";"Isabell"
"Isabel";"Isabelle"
"Isabella";"Isabela"
"Isabella";"Izabela"
"Isabella";"Izabella"
"Isak";"Isaac"
"Isak";"Isaak"
"Isidor";"Izidor"
"Ismael";"Ismaël"
"Isra";"Israa"
"István";"Istvan"
"Itha";"Itta"
"Itha";"Ytta"
"Iva";"Iwa"
"Ivan";"Ivaan"
"Ivan";"Iván"
"Ivan";"Iwan"
"Ivan";"Yvan"
"Ivana";"Iwana"
"Ivette";"Yvette"
"Ivo";"Iwo"
"Izzet";"Izet"
"Jacintha";"Jacinta"
"Jacqueline";"Jackelien"
"Jacqueline";"Jackline"
"Jacqueline";"Jacklyn"
"Jacqueline";"Jaclyn"
"Jacqueline";"Jacqeline"
"Jacqueline";"Jacquelin"
"Jacqueline";"Jacquelyn"
"Jacqueline";"Jacquelyne"
"Jacqueline";"Jaqueline"
"Jacqueline";"Jaquline"
"Jacqueline-Therese";"Jacqueline-Terese"
"Jacques";"Jaques"
"Jaimy";"Jamie"
"Jakob";"Jacob"
"Jakob";"Yakob"
"Jakov";"Jakow"
"Jakub";"Yacoub"
"Jakub";"Yakub"
"Jakub";"Yakup"
"Jamil";"Jameel"
"Jamina";"Yamina"
"Jan";"Jann"
"Jan";"Yan"
"Jan";"Yann"
"Jana";"Iana"
"Jana";"Jaana"
"Jana";"Janah"
"Jana";"Yahna"
"Jana";"Yana"
"Janelle";"Janel"
"Janelle";"Janell"
"Jan-Erik";"Jan-Eric"
"Janes";"Janez"
"Janesa";"Janessa"
"Janet";"Jannet"
"Janet";"Jennet"
"Janine";"Janienne"
"Janine";"Janin"
"Janine";"Janinn"
"Janine";"Jannin"
"Janine";"Jannine"
"Janine";"Jannyne"
"Janine";"Jeanine"
"Jan-Kristian";"Jan-Christian"
"Jan-Lukas";"Jan-Lucas"
"Jannik";"Janick"
"Jannik";"Janik"
"Jannik";"Jannic"
"Jannik";"Jannick"
"Jannik";"Yanic"
"Jannik";"Yanick"
"Jannik";"Yanik"
"Jannik";"Yannic"
"Jannik";"Yannick"
"Jannik";"Yannik"
"Jannika";"Jannica"
"Jannis";"Janis"
"Jannis";"Yanis"
"Jannis";"Yannis"
"Janny";"Janni"
"Janny";"Jannie"
"Janosch";"Janos"
"Janosch";"Janoš"
"Janosch";"János"
"Jan-Philipp";"Jan-Philip"
"Jan-Stefan";"Jan-Stephan"
"Jaschar";"Jašar"
"Jasiri";"Jaziri"
"Jasmin";"Jasemin"
"Jasmin";"Jasmine"
"Jasmin";"Jázmin"
"Jasmin";"Yasemin"
"Jasmin";"Yasmin"
"Jasmin";"Yasmine"
"Jasmina";"Yasmina"
"Jasmin-Jaqueline";"Jasmin-Jacqueline"
"Jason";"Jayson"
"Jeane";"Jeanne"
"Jeanette";"Janete"
"Jeanette";"Janett"
"Jeanette";"Janette"
"Jeanette";"Jannette"
"Jeanette";"Jeannette"
"Jeaninne";"Jeannine"
"Jeaninne";"Shanine"
"Jeannine-Marie";"Janine-Marie"
"Jean-Philippe";"Jean-Philipp"
"Jean-Philippe";"Jean-Phillip"
"Jeffrey";"Jeffry"
"Jenifer";"Jenefer"
"Jenifer";"Jeniffer"
"Jenifer";"Jennefer"
"Jenifer";"Jennifer"
"Jenifer";"Jenniffer"
"Jenifer";"Jennipher"
"Jenifer";"Jennyfer"
"Jennica";"Jennika"
"Jenny";"Jenni"
"Jenny";"Jennie"
"Jeremia";"Jeremiah"
"Jeremie";"Jérémie"
"Jeremy";"Jeremi"
"Jerome";"Jerôme"
"Jerome";"Jérôme"
