Name,Gender
Damaso,M
Damastor,M
Damiano,M
Damião,M
Damon,M
Damásio,M
Dan,M
Daniel,M
Danilo,M
Dante,M
Danton,M
Danuto,M
Darceno,M
Darci,M
Darcênio,M
Dardeno,M
Darin,M
Dario,M
Darius,M
Daros,M
Darwin,M
Davi,M
David,M
Davidson,M
Davino,M
Dedan,M
Deimos,M
Delano,M
Delfim,M
Delfino,M
Delmar,M
Delmiro,M
Demarato,M
Demas,M
Demétrio,M
Demétrius,M
Demócrates,M
Demócrito,M
Deniel,M
Denilson,M
Denis,M
Denzel,M
Dení,M
Deocleciano,M
Deodato,M
Deodoro,M
Deolindo,M
Dercino,M
Derek,M
Desidério,M
Deus,M
Deusdedit,M
Dexter,M
Diaurum,M
Dib,M
Dick,M
Dickson,M
Dicteu,M
Diego,M
Dietrich,M
Dieudoneé,M
Dilan,M
Dilermando,M
Dimas,M
Dimitre,M
Dimitri,M
Dinarte,M
Dinis,M
Diniz,M
Dino,M
Diocleciano,M
Diocles,M
Dioclécio,M
Diogo,M
Diomar,M
Diomedes,M
Diomiro,M
Dion,M
Dionísio,M
Dioros,M
Dirceu,M
Divino,M
Diéneces,M
Diógenes,M
Djalma,M
Dmitry,M
Dobromil,M
Dolabela,M
Domiciano,M
Domingos,M
Dominic,M
Domênico,M
Domício,M
Donald,M
Donaldo,M
Donatello,M
Donatelo,M
Donatien,M
Donato,M
Donga,M
Doriano,M
Dorival,M
Dorval,M
Doug,M
Douglas,M
Dourival,M
Draco,M
Dracon,M
Dragomir,M
Drímaco,M
Duane,M
Duarte,M
Dulcídio,M
Duprat,M
Durand,M
Durval,M
Durvalino,M
Durward,M
Duílio,M
Dácio,M
Dárcio,M
Dáscilo,M
Dâmocles,M
Dânao,M
Décio,M
Dédalo,M
Délfico,M
Délio,M
Dídimo,M
Dóris,M
Eala,M
Eanes,M
Earl,M
Ebenézer,M
Eberaldo,M
Ebert,M
Ebony,M
Ebraim,M
Ecleu,M
Eco,M
Edberto,M
Eddy,M
Edegar,M
Edemir,M
Eden,M
Edgar,M
Edgard,M
Edgardo,M
Edilberto,M
Edilson,M
Ediseu,M
Edivaldo,M
Edmar,M
Edmarcio,M
Edmilson,M
Edmo,M
Edmond,M
Edmundo,M
Edno,M
Edoardo,M
Edom,M
Edson,M
Eduardo,M
Edvaldo,M
Edvino,M
Edward,M
Edwin,M
Edwino,M
Edésio,M
Efraim,M
Efrém,M
Egbert,M
Egberto,M
Egeo,M
Egeu,M
Egil,M
Eginardo,M
Egito,M
Egídio,M
Ehu,M
Eidil,M
Eike,M
Einar,M
Eistein,M
Ekeka,M
Ekemona,M
Ekena,M
Ekewaka,M
Ekualo,M
Elam,M
Elato,M
Elder,M
Eldred,M
Eleakim,M
Eleanor,M
Eleazar,M
Eleonor,M
Eleotero,M
Eleutério,M
Elfort,M
Eli,M
Eliano,M
Eliaquim,M
Elias,M
Eliasoé,M
Elifaz,M
Elinor,M
Eliot,M
Elise,M
Eliseu,M
Elisário,M
Eliézer,M
Eliú,M
Elmano,M
Elmar,M
Elmer,M
Elpenor,M
Elpídio,M
Elquenor,M
Elton,M
Elvino,M
Elvis,M
Elzeário,M
Elá,M
Elício,M
Elídio,M
Elígio,M
Elísio,M
Elói,M
Emanuel,M
Emarã,M
Emaré,M
Emerson,M
Emiliano,M
Emir,M
Emílio,M
Enarê,M
Encarnacion,M
Endi,M
Enio,M
Eno,M
Enoque,M
Enos,M
Enrico,M
Enrique,M
Enzo,M
Enéias,M
Epaminondas,M
Ephraim,M
Epi,M
Epicasta,M
Epifânio,M
Epimênides,M
Epitácio,M
Epêneto,M
Epícares,M
Epícuro,M
Epígone,M
Epíteto,M
Eraldo,M
Erard,M
Erardo,M
Erasmo,M
Erasto,M
Ercílio,M
Eriberto,M
Eric,M
Erick,M
Erico,M
Erik,M
Ermelindo,M
Ermenegildo,M
Ermínio,M
Ermírio,M
Ernest,M
Ernesto,M
Ernâni,M
Eros,M
Erval,M
Ervin,M
Ervino,M
Esaú,M
Escobar,M
Escolástico,M
Esculápio,M
Esdras,M
Esequiel,M
Esme,M
Esmond,M
Esmondo,M
Espedito,M
Esperidião,M
Espártaco,M
Essoby,M
Estanislau,M
Estefânio,M
Estentor,M
Estevan,M
Esteves,M
Estevão,M
Estácio,M
Estéfanas,M
Estéfano,M
Estélio,M
Estênio,M
Esídio,M
Etelvino,M
Etevaldo,M
Ethan,M
Ethel,M
Ettore,M
Eucles,M
Euclides,M
Eudes,M
Eudorico,M
Eudoro,M
Eudóxio,M
Eufranor,M
Eufrásio,M
Eugênio,M
Euler,M
Eulino,M
Eulálio,M
Eumelo,M
Eumênes,M
Eumênis,M
Eunápio,M
Euquenor,M
Euro,M
Eurodo,M
Eurípedes,M
Eustáquio,M
Eusébio,M
Euterpe,M
Evaisto,M
Evaldo,M
Evandro,M
Evangelista,M
Evanildo,M
Evaristo,M
Everaldo,M
Everardo,M
Everton,M
Expedito,M
Ezequias,M
Ezequiel,M
Eácido,M
Eçapira,M
Fabian,M
Fabiano,M
Fabrizio,M
Fabrício,M
Fadel,M
Faetonte,M
Fagundes,M
Fagundo,M
Fahir,M
Faith,M
Faizel,M
Faiçal,M
Fajardo,M
Falcão,M
Fanor,M
Faon,M
Farell,M
Farid,M
Faros,M
Faruk,M
Fascínio,M
Fauno,M
Faustino,M
Fausto,M
Fauzi,M
Favorino,M
Fayard,M
Febo,M
Fedalto,M
Fedato,M
Federigo,M
Fedon,M
Fedro,M
Fegeu,M
Feital,M
Feitosa,M
Feliciano,M
Felipe,M
Felisbelo,M
Felisberto,M
Felismino,M
Felênio,M
Felício,M
Fenaio,M
Ferdinando,M
Fergus,M
Fernandes,M
Fernandino,M
Fernando,M
Fernão,M
Feron,M
Ferraz,M
Festo,M
Fidel,M
Fido,M
Fidélio,M
Fidélis,M
Fidêncio,M
Filareto,M
Fileto,M
Filiberto,M
Filinto,M
Filipe,M
Filodemo,M
Filogônio,M
Filomeno,M
Filéas,M
Filêmon,M
Fingal,M
Finéas,M
Firminiano,M
Firmino,M
Firmo,M
Fiácrio,M
Flabela,M
Flamínio,M
Flausino,M
Flaviano,M
Fleur,M
Fleury,M
Florentino,M
Florestano,M
Florian,M
Floriano,M
Floro,M
Florêncio,M
Floyd,M
Flynn,M
Flávio,M
Fonseca,M
Fontes,M
Fontoura,M
Forel,M
Fortuna,M
Fortunato,M
Fox,M
Frabriciano,M
Fradique,M
Fragoso,M
Francelino,M
Francesco,M
Francisco,M
Franclim,M
Franco,M
Francílio,M
Frank,M
Franklin,M
Frans,M
François,M
Frederico,M
Freja,M
Friederike,M
Fritz,M
Frontin,M
Frutuoso,M
Frôntis,M
Fuad,M
Fulton,M
Furlan,M
Fábio,M
Fáris,M
Fátuo,M
Fáustolo,M
Félix,M
Féres,M
Fênix,M
Fídias,M
Fídio,M
Fóster,M
Fúlvio,M
Gabor,M
Gabriel,M
Gabínio,M
Gad,M
Gadi,M
Gaditano,M
Gael,M
Gago,M
Gaio,M
Galates,M
Galdino,M
Galeno,M
Galeso,M
Galhardo,M
Galieno,M
Galileo,M
Galileu,M
Galvino,M
Galvão,M
Gamaliel,M
Gamarra,M
Gandolfo,M
Ganimedes,M
Garib,M
Garibaldi,M
Garnet,M
Garnier,M
Garret,M
Garrido,M
Garth,M
Gary,M
Gaspar,M
Gastão,M
Gaudêncio,M
Gaylord,M
Gedeão,M
Gedão,M
Gelmires,M
Geminiano,M
Genaro,M
Genciano,M
Generoso,M
Genival,M
Genivaldo,M
Gentil,M
Genésio,M
Geoffrey,M
Georg,M
Georges,M
Geovane,M
Geraldino,M
Geraldo,M
Gerardo,M
Gerd,M
Geremaro,M
Gerhard,M
Gerin,M
Gerião,M
Germain,M
Germano,M
Gertraud,M
Gervásio,M
Gerôncio,M
Gesuíno,M
Getúlio,M
Geórge,M
Giacomo,M
Gibrail,M
Giglio,M
Gilberto,M
Gildo,M
Giles,M
Gilmar,M
Giovanni,M
Glicério,M
Godofredo,M
Goiás,M
Goldman,M
Golias,M
Gomer,M
Gomes,M
Gonçalo,M
Gotardo,M
Goulard,M
Goulart,M
Graciliano,M
Gracinaldo,M
Gracindo,M
Graciniato,M
Graco,M
Gracílio,M
Grajaú,M
Gratiano,M
Graziano,M
Gregor,M
Gregório,M
Grimaldi,M
Grino,M
Gualberto,M
Gualtiero,M
Guarani,M
Guayi,M
Guaçu,M
Guerino,M
Guido,M
Guilherme,M
Gumercindo,M
Gumersindo,M
Gunda,M
Gunter,M
Gurgel,M
Gurinhém,M
Gustavo,M
Guto,M
Guálter,M
Gábrio,M
Gérson,M
Gílson,M
Górki,M
Halehale,M
Halevi,M
Haley,M
Hamid,M
Hamilcar,M
Hamilton,M
Hamish,M
Hamlet,M
Hamon,M
Hanauhou,M
Haniel,M
Hannibal,M
Hanom,M
Hanon,M
Hans,M
Haníbal,M
Harahel,M
Hardy,M
Harmon,M
Harold,M
Haroldo,M
Harriet,M
Harrison,M
Harrisson,M
Harry,M
Hartmut,M
Hartwig,M
Hasan,M
Haskel,M
Hassan,M
Hathor,M
Hauolimau,M
Havilah,M
Hayato,M
Hayden,M
Hazel,M
Haziel,M
Heather,M
Hector,M
Hedi,M
Heidrun,M
Heiko,M
Heinz,M
Heitor,M
Heleno,M
Helge,M
Heli,M
Heliberto,M
Helmut,M
Helotes,M
Heládio,M
Hemetério,M
Henderson,M
Henele,M
Heneliaka,M
Henoheno,M
Henoque,M
Henri,M
Henrike,M
Henrique,M
Henry,M
Herculano,M
Hercílio,M
Herman,M
Hermano,M
Hermenegildo,M
Hermes,M
Hermeto,M
Hermine,M
Hermon,M
Hermínio,M
Hermógenes,M
Herodes,M
Herodião,M
Heron,M
Heros,M
Hersílio,M
Heráclio,M
Heráclito,M
Heródoto,M
Hidalgo,M
Hidetaka,M
Hiero,M
Higino,M
Hilal,M
Hilbert,M
Hildeberto,M
Hildebrando,M
Hildefonso,M
Hilderico,M
Hilário,M
Himeneu,M
Himineu,M
Hipólito,M
Hiram,M
Hiran,M
Hiroki,M
Hiroshi,M
Hiroíto,M
Hirá,M
Hirônides,M
Hisíodo,M
Hiérocles,M
Hogo,M
Hoirandí,M
Hokuokekai,M
Homero,M
Hong,M
Honorato,M
Honorino,M
Honório,M
Hormênio,M
Horst,M
Horton,M
Hortênsio,M
Horácio,M
Hubert,M
Huberto,M
Hugh,M
Hugo,M
Humberto,M
Hunter,M
Hur,M
Hurassí,M
Hálim,M
Hélder,M
Hélio,M
Héracles,M
Hércules,M
Hêber,M
Hílton,M
Iaco,M
Iago,M
Iakopa,M
Iamana,M
Ian,M
Iataí,M
Ibacém,M
Ibanêz,M
Ibaque,M
Ibaré,M
Ibaté,M
Iberê,M
Ibiaçu,M
Ibiraci,M
Ibirajara,M
Ibirajá,M
Ibiri,M
Ibrahim,M
Ibraim,M
Ibura,M
Ibá,M
Icanor,M
Icer,M
Ichiro,M
Icrá,M
Ictino,M
Icário,M
Icém,M
Icílio,M
Idalino,M
Idmon,M
Idomeneu,M
Idomeu,M
Idril,M
Idálio,M
Idário,M
Ifigênio,M
Igaci,M
Igapi,M
Iglesias,M
Igor,M
Iguatemi,M
Iguaçu,M
Ihilane,M
Ihilani,M
Ikaika,M
Ilah,M
Ildefonso,M
Ilo,M
Iluminato,M
Imael,M
Imamaiah,M
Inalécio,M
Inandê,M
Inca,M
Ingo,M
Ingomar,M
Inocêncio,M
Inácio,M
Ioshua,M
Ipojuca,M
Ipupiara,M
Iramaia,M
Irapuã,M
Iraê,M
Ireneu,M
Irineu,M
Iriri,M
Irving,M
Isaac,M
Isaiah,M
Isao,M
Isaque,M
Isar,M
Isauro,M
Isaía,M
Isaías,M
Iseu,M
Isidoro,M
Isidro,M
Ismael,M
Ismail,M
Ismênio,M
Isnar,M
Isnardo,M
Israel,M
Itabira,M
Itagiba,M
Itajuí,M
Itamar,M
Itambé,M
Itapoã,M
Itatiba,M
Itaú,M
Itono,M
Itubore,M
Ituriel,M
Itápolis,M
Ivair,M
Ivaldir,M
Ivan,M
Ivanhoé,M
Ivaí,M
Ivo,M
Ivor,M
Ivã,M
Iwin,M
Izolino,M
Jabel,M
Jabino,M
Jaboatão,M
Jabriel,M
Jabril,M
Jacicoê,M
Jaciendi,M
Jacimira,M
Jacinir,M
Jacinto,M
Jacir,M
Jackson,M
Jacob,M
Jacome,M
Jacques,M
Jacqui,M
Jacó,M
Jadon,M
Jael,M
Jafar,M
Jafet,M
Jafé,M
Jaguar,M
Jaime,M
Jair,M
Jaire,M
Jairo,M
Jakob,M
Jamal,M
James,M
Jamil,M
Jandir,M
Jango,M
Jannike,M
Jano,M
Januário,M
Jaque,M
Jaques,M
Jaqui,M
Jarbas,M
Jardano,M
Jardel,M
Jardine,M
Jared,M
Jarede,M
Jari,M
Jaromir,M
Jarvis,M
Jasão,M
Jati,M
Jatir,M
Javan,M
Javano,M
Javaé,M
Javier,M
Javé,M
Jaziel,M
Jean,M
Jecabebe,M
Jefferson,M
Jeffrey,M
Jens,M
Jeová,M
Jepiara,M
Jeremiah,M
Jeremias,M
Jerônimo,M
Jessé,M
Jesus,M
Jesuíno,M
Jetro,M
Jewel,M
Jezabel,M
Jim,M
Jimy,M
Jin,M
Joabe,M
Joaci,M
Joamar,M
Joan,M
Joaquim,M
Joatã,M
Jobim,M
Jocelim,M
Jocelin,M
Jocelyn,M
Joel,M
Joelle,M
Joh,M
John,M
Joly,M
Jona,M
Jonas,M
Jonathan,M
Jordano,M
Jordão,M
Jorge,M
Jorgen,M
Jorie,M
Josafá,M
Josemar,M
Joseph,M
Joshua,M
Josiah,M
Josias,M
Josué,M
José,M
Jouvin,M
Joviano,M
Jovino,M
Jovito,M
João,M
Juaci,M
Juacir,M
Juan,M
Juarez,M
Jubal,M
Juca,M
Judas,M
Judá,M
Juliano,M
Juno,M
Jupi,M
Juraci,M
Jurandir,M
Jurecê,M
Juscelino,M
Justiniano,M
Justino,M
Justo,M
Justus,M
Juvenal,M
Juventino,M
Jácomo,M
Jáder,M
Jáper,M
Jásper,M
Jânio,M
Jó,M
Jóbson,M
Jório,M
Jônatas,M
Jônio,M
Júlio,M
Júnio,M
Júnior,M
Júpiter,M
Kaab,M
Kaakakona,M
Kabir,M
Kai,M
Kaia,M
Kailola,M
Kaio,M
Kaique,M
Kakali,M
Kala,M
Kalawina,M
Kale,M
Kaled,M
Kaleo,M
Kalil,M
Kaloka,M
Kaluanã,M
Kamadeva,M
Kamadewa,M
Kamal,M
Kamala,M
Kamby,M
Kameahookohoia,M
Kamona,M
Kamuela,M
Kana,M
Kanauã,M
Kane,M
